Variables: tmin, tmax, prcp
years: 2005,2010,2015
G13121007604.csv, 33.7010615704646, -84.4654726154475
G13121011427.csv, 34.0307605062124, -84.272293727009
G13121011616.csv, 34.0721794536737, -84.2804763463778
G13121007704.csv, 33.7077866415558, -84.4881242424977
G13121007603.csv, 33.7065093469335, -84.4403826861129
G13135050317.csv, 33.9466463657713, -84.2439779957485
G13135050220.csv, 33.992087640539, -84.1730523985606
G13135050318.csv, 33.9545445369478, -84.247374411008
G13135050320.csv, 33.9263529153283, -84.20490957843
G13217100100.csv, 33.6645971181478, -83.868284433814
G13135050322.csv, 33.9899264470903, -84.236819612708
G13217100400.csv, 33.6136719126811, -83.8694522656433
G13217100300.csv, 33.5814401231407, -83.8332837770469
G13135050538.csv, 33.9831984867321, -84.0438110611182
G13135050525.csv, 34.0152013306374, -84.0262065581649
G13135050529.csv, 34.0131433902432, -84.0539344048065
G13135050530.csv, 33.9977046230038, -84.0572904439496
G13135050209.csv, 33.9736436810269, -84.1429191822847
G13135050217.csv, 33.9943524035844, -84.1119360289865
G13135050214.csv, 34.0222153602049, -84.1341089275605
G13135050218.csv, 33.989212254528, -84.1421525384467
G13135050212.csv, 34.066429243474, -84.0917009871635
G13135050109.csv, 34.0949743763453, -84.0530521608037
G13135050213.csv, 34.0605618596835, -84.0437390700523
G13135050208.csv, 34.0434271071507, -84.0106934741295
G13135050606.csv, 34.0906620049787, -83.9489263054617
G13135050210.csv, 34.0404220404526, -84.0734593443783
G13135050528.csv, 34.0268445916362, -84.0079605881128
G13135050605.csv, 34.0472225563464, -83.9505165756629
G13135050422.csv, 33.9059135833595, -84.1676204746701
G13135050304.csv, 33.9280212143167, -84.253197283302
G13135050105.csv, 34.1198261753999, -83.9887467479847
G13135050103.csv, 34.1328184326823, -84.026976396662
G13135050108.csv, 34.1028631723339, -84.0859461870368
G13135050107.csv, 34.139484756977, -84.0669029338527
G13135050308.csv, 33.9880767549597, -84.2168176831678
G13135050309.csv, 33.9747847298723, -84.191839740105
G13135050417.csv, 33.9039446642044, -84.2150789878791
G13135050314.csv, 33.9555669785364, -84.163902935194
G13135050106.csv, 34.0831215040401, -84.0059253087966
G13135050205.csv, 34.0126851211093, -84.1645775719032
G13135050419.csv, 33.8986823462093, -84.1887365937011
G13135050306.csv, 33.9265948849453, -84.2286832448413
G13135050418.csv, 33.8979789243085, -84.2233288843648
G13135050521.csv, 33.9409418163548, -84.0007957641561
G13135050421.csv, 33.9151743966721, -84.1850959164101
G13135050315.csv, 33.9542630846867, -84.2622629209434
G13135050310.csv, 33.9617731011515, -84.2345163194328
G13135050424.csv, 33.9213328142983, -84.1535285430177
G13135050313.csv, 33.9456472275088, -84.1801244341748
G13135050311.csv, 33.9479360838422, -84.2132978062043
G13135050423.csv, 33.9262176212788, -84.1343520569314
G13135050410.csv, 33.890841588957, -84.149575534024
G13135050429.csv, 33.8518062436489, -84.0953835807598
G13135050713.csv, 33.8974041267335, -84.0352903548232
G13135050511.csv, 33.9747536903172, -84.0686496658941
G13135050714.csv, 33.8546518254827, -84.072537663994
G13135050522.csv, 33.9384329910707, -83.9802712794215
G13135050520.csv, 33.9560745971666, -84.0031477612943
G13121007808.csv, 33.7516329926164, -84.4998628609449
G13121007806.csv, 33.7461807409331, -84.515502318296
G13121009200.csv, 33.8133102555725, -84.3623883808454
G13121008201.csv, 33.7699907398187, -84.4826845261876
G13121001100.csv, 33.7841633295254, -84.3830168633855
G13121000400.csv, 33.7885374821403, -84.3782437346419
G13121000200.csv, 33.7916331859341, -84.3641990039306
G13121009402.csv, 33.8219979878926, -84.3649251990234
G13121009603.csv, 33.8343705290553, -84.3757570713749
G13121009601.csv, 33.8463916822456, -84.3777070053372
G13121010211.csv, 33.8815462798148, -84.3951720959403
G13121009801.csv, 33.8370604568959, -84.4178029369529
G13121010121.csv, 33.9311536438343, -84.3706420891722
G13121010119.csv, 33.9913040108258, -84.3452326147513
G13121008800.csv, 33.809869621194, -84.4574817749614
G13121008602.csv, 33.7931511850064, -84.4886523958949
G13121000500.csv, 33.7965650407049, -84.3852224599078
G13121009300.csv, 33.8216030919615, -84.3801732908162
G13121011619.csv, 34.0665622252169, -84.2454374990477
G13121011621.csv, 34.0884664685431, -84.2345704615477
G13121011623.csv, 34.0396222918915, -84.1903053549412
G13121011625.csv, 34.0285695521133, -84.1980094108612
G13121007705.csv, 33.6829658425458, -84.4911818855787
G13121011612.csv, 34.0052428839736, -84.2001941806937
G13121006801.csv, 33.710292459241, -84.3677886510653
G13121006900.csv, 33.7183137838855, -84.3587705792322
G13121010204.csv, 33.9251455365745, -84.4171639288774
G13121007100.csv, 33.6963578083033, -84.3546555609695
G13121009700.csv, 33.8436761497128, -84.4435619203908
G13121010206.csv, 33.8968803272628, -84.4180345495421
G13121009900.csv, 33.8599032678042, -84.394864532969
G13121009000.csv, 33.8132495777982, -84.4114230270139
G13121007802.csv, 33.7111219809425, -84.5301635944622
G13121007805.csv, 33.7528961902042, -84.5382286368365
G13121010510.csv, 33.5502344878329, -84.5450327347192
G13121010512.csv, 33.5863609801596, -84.5356418515794
G13121001500.csv, 33.7764970938145, -84.3539007277588
G13121007807.csv, 33.7624506422807, -84.4968620822126
G13121005200.csv, 33.7355110794641, -84.3544772613391
G13121005000.csv, 33.7420805454435, -84.3650954628684
G13121011613.csv, 34.0338822057642, -84.2173450523844
G13121011426.csv, 34.0371544668206, -84.2460314657065
G13121011620.csv, 34.0721725413835, -84.2188764620819
G13121011420.csv, 34.0297338653397, -84.3255170208408
