GISJN_TCT,prcp,tmax,tmin
G13013180103,1506.3333333333333,22.200913242009133,10.406392694063927
G13013180104,1551.6666666666667,22.08949771689498,10.401369863013699
G13013180105,1521.6666666666667,22.204109589041096,10.40228310502283
G13013180106,1515.3333333333333,22.15433789954338,10.411415525114155
G13013180107,1597,22.17579908675799,10.37351598173516
G13013180108,1564.3333333333333,22.151141552511415,10.372602739726027
G13013180203,1549.3333333333333,22.284474885844748,10.366666666666667
G13013180204,1527,22.359817351598174,10.373972602739727
G13013180205,1578,22.213698630136985,10.360730593607306
G13013180206,1527.6666666666667,22.34931506849315,10.401369863013699
G13013180301,1530.3333333333333,22.328310502283106,10.384018264840183
G13013180302,1502.3333333333333,22.374429223744293,10.407762557077625
G13013180303,1559,22.263013698630136,10.389041095890411
G13013180401,1584,22.343835616438355,10.426027397260274
G13013180402,1685.3333333333333,22.4027397260274,10.452511415525114
G13013180501,1550.3333333333333,22.354337899543378,10.378082191780821
G13013180502,1492,22.54794520547945,10.414155251141553
G13013180503,1531.3333333333333,22.41187214611872,10.365296803652969
G13015960101,1379.6666666666667,22.563470319634703,9.988584474885844
G13015960102,1389,22.494063926940637,9.833789954337899
G13015960200,1317,22.58949771689498,9.773972602739725
G13015960300,1303.6666666666667,22.483561643835614,9.655707762557077
G13015960401,1319.6666666666667,22.710045662100455,9.828310502283106
G13015960402,1325,22.732876712328768,9.873972602739727
G13015960500,1310,22.724657534246575,9.817351598173516
G13015960600,1315,22.80091324200913,9.90730593607306
G13015960700,1397.6666666666667,22.409132420091325,9.752511415525115
G13015960801,1375,22.427397260273974,9.808675799086759
G13015960802,1362,22.442465753424656,9.811872146118722
G13015960803,1343,22.56392694063927,9.82054794520548
G13015960901,1279,22.836073059360732,9.897716894977169
G13015960902,1318,22.61095890410959,9.725570776255708
G13015961000,1277.3333333333333,22.825570776255706,9.79041095890411
G13035150100,1468.3333333333333,23.531963470319635,10.685388127853882
G13035150200,1475.3333333333333,23.428310502283104,10.684931506849315
G13035150300,1452,23.38447488584475,10.71324200913242
G13045910101,1451.6666666666667,22.035616438356165,9.668493150684931
G13045910103,1498,21.966666666666665,9.657990867579908
G13045910104,1423.3333333333333,22.029680365296805,9.57716894977169
G13045910200,1454.3333333333333,21.97077625570776,9.559360730593607
G13045910300,1483,21.924657534246574,9.548401826484017
G13045910400,1497.3333333333333,22.071689497716896,9.580821917808219
G13045910501,1519.6666666666667,22.224657534246575,9.776712328767124
G13045910502,1522.3333333333333,22.295890410958904,9.830593607305936
G13045910600,1481.3333333333333,22.265753424657536,9.817351598173516
G13045910701,1540.3333333333333,22.134246575342466,9.840639269406392
G13045910702,1551.6666666666667,21.878995433789957,9.742922374429224
G13045910703,1491.6666666666667,22.17808219178082,9.800913242009132
G13045910800,1470.6666666666667,22.66118721461187,10.126027397260273
G13045910900,1573.6666666666667,22.293150684931508,9.75296803652968
G13045911000,1560.6666666666667,22.328767123287673,9.88082191780822
G13045911100,1515,22.417351598173514,9.852054794520548
G13045911200,1474,22.477625570776258,9.759360730593606
G13057090100,1457.6666666666667,22.31461187214612,10.214155251141552
G13057090200,1460.3333333333333,21.993150684931507,9.771689497716896
G13057090300,1439,22.457077625570776,9.931506849315069
G13057090400,1512.3333333333333,22.021461187214612,9.875342465753425
G13057090501,1532,22.054794520547944,10.015068493150684
G13057090502,1546.6666666666667,21.800456621004567,9.897260273972602
G13057090601,1470.6666666666667,22.156621004566208,9.88675799086758
G13057090602,1474.3333333333333,22.29132420091324,9.997260273972604
G13057090701,1437,22.317351598173516,9.908675799086758
G13057090702,1451.3333333333333,22.148858447488585,9.883561643835616
G13057090802,1476.3333333333333,22.203196347031962,10.029680365296803
G13057090803,1412.3333333333333,22.389497716894976,10.04109589041096
G13057090804,1401,22.42876712328767,10.084931506849315
G13057090901,1422.3333333333333,22.255707762557076,10.038812785388128
G13057090902,1392.6666666666667,22.317351598173516,10.105022831050228
G13057090904,1373.6666666666667,22.482191780821918,10.090867579908675
G13057090905,1392,22.38812785388128,10.061643835616438
G13057091001,1393,22.321461187214613,9.986301369863014
G13057091003,1386.6666666666667,22.210045662100455,9.88812785388128
G13057091005,1396.3333333333333,22.230593607305938,9.893607305936072
G13057091006,1407.3333333333333,22.215525114155252,9.857534246575343
G13057091007,1408.6666666666667,22.4324200913242,9.93744292237443
G13057091008,1401.3333333333333,22.39908675799087,9.987671232876712
G13057091101,1402.6666666666667,22.393150684931506,9.86849315068493
G13057091102,1414.3333333333333,22.13744292237443,9.7785388127853885
G13057091103,1379,22.39041095890411,9.867579908675799
G13063040202,1563.3333333333333,22.705936073059362,10.7013698630137
G13063040203,1600.6666666666667,22.59406392694064,10.647031963470319
G13063040204,1610.3333333333333,22.48401826484018,10.641552511415526
G13063040302,1575.3333333333333,22.61552511415525,10.70593607305936
G13063040303,1542.3333333333333,22.715525114155252,10.722374429223745
G13063040306,1574.6666666666667,22.5986301369863,10.689954337899543
G13063040307,1568,22.630593607305936,10.71552511415525
G13063040308,1585,22.548401826484017,10.687671232876712
G13063040407,1544,22.631963470319636,10.724657534246575
G13063040408,1539.6666666666667,22.725570776255708,10.74566210045662
G13063040409,1549.6666666666667,22.817808219178083,10.766666666666667
G13063040410,1540.6666666666667,22.666666666666668,10.728767123287671
G13063040411,1542.3333333333333,22.84794520547945,10.76986301369863
G13063040412,1535,22.838356164383562,10.768036529680366
G13063040413,1554.6666666666667,22.81187214611872,10.768949771689497
G13063040414,1560.3333333333333,22.704109589041096,10.731506849315068
G13063040415,1567.3333333333333,22.841552511415525,10.735616438356164
G13063040416,1551.3333333333333,22.775799086757992,10.741552511415525
G13063040417,1548,22.838356164383562,10.753881278538813
G13063040509,1611,22.656164383561645,10.674885844748859
G13063040510,1614.3333333333333,22.570319634703196,10.67123287671233
G13063040512,1562.6666666666667,22.801369863013697,10.70958904109589
G13063040513,1575.3333333333333,22.727397260273975,10.690867579908677
G13063040514,1576.3333333333333,22.7972602739726,10.713698630136987
G13063040515,1566,22.831963470319636,10.726027397260275
G13063040516,1569.3333333333333,22.79041095890411,10.724657534246575
G13063040518,1566.3333333333333,22.922374429223744,10.73972602739726
G13063040519,1598.6666666666667,22.63150684931507,10.677168949771689
G13063040520,1569.6666666666667,22.68447488584475,10.695433789954338
G13063040521,1576,22.78675799086758,10.72420091324201
G13063040522,1597,22.75159817351598,10.709132420091324
G13063040523,1589.3333333333333,22.687214611872147,10.70593607305936
G13063040524,1562.3333333333333,22.851141552511415,10.738812785388127
G13063040525,1559,22.97579908675799,10.749771689497717
G13063040526,1560.6666666666667,22.892694063926943,10.733333333333334
G13063040606,1571,22.878995433789953,10.741095890410959
G13063040608,1563,23.020091324200916,10.73607305936073
G13063040609,1560.3333333333333,22.74703196347032,10.74703196347032
G13063040611,1542.6666666666667,22.865753424657534,10.748858447488585
G13063040612,1550.6666666666667,22.80593607305936,10.73835616438356
G13063040613,1550,22.839726027397262,10.743835616438357
G13063040614,1549.6666666666667,22.9310502283105,10.777625570776255
G13063040615,1568.3333333333333,22.766666666666666,10.758904109589041
G13063040616,1559.3333333333333,22.857990867579908,10.775342465753424
G13063040617,1553.3333333333333,22.910045662100455,10.78310502283105
G13063040619,1570,22.900913242009132,10.747488584474885
G13063040620,1578,22.864383561643834,10.735616438356164
G13063040621,1542,22.90958904109589,10.740639269406392
G13063040622,1543,22.877625570776257,10.733333333333334
G13063980000,1603.6666666666667,22.47945205479452,10.637899543378996
G13067030101,1320.6666666666667,22.534246575342465,9.932876712328767
G13067030103,1334,22.551141552511414,9.979908675799086
G13067030104,1350,22.450228310502283,9.887671232876713
G13067030106,1356,22.403196347031965,9.89041095890411
G13067030107,1381.6666666666667,22.247945205479454,9.823744292237443
