X,Y,GEOID10,TRACTID,GISJN_TCT,coord_query
-84.23451631943277,33.961773101151465,13135050310,13135050310,G13135050310,"G13135050310.csv, 33.9617731011515, -84.2345163194328"
-84.15352854301769,33.921332814298296,13135050424,13135050424,G13135050424,"G13135050424.csv, 33.9213328142983, -84.1535285430177"
-84.1801244341748,33.945647227508815,13135050313,13135050313,G13135050313,"G13135050313.csv, 33.9456472275088, -84.1801244341748"
-84.21329780620431,33.9479360838422,13135050311,13135050311,G13135050311,"G13135050311.csv, 33.9479360838422, -84.2132978062043"
-84.13435205693142,33.92621762127876,13135050423,13135050423,G13135050423,"G13135050423.csv, 33.9262176212788, -84.1343520569314"
-84.14957553402397,33.89084158895698,13135050410,13135050410,G13135050410,"G13135050410.csv, 33.890841588957, -84.149575534024"
-84.09538358075979,33.85180624364886,13135050429,13135050429,G13135050429,"G13135050429.csv, 33.8518062436489, -84.0953835807598"
-84.03529035482319,33.8974041267335,13135050713,13135050713,G13135050713,"G13135050713.csv, 33.8974041267335, -84.0352903548232"
-84.06864966589406,33.97475369031717,13135050511,13135050511,G13135050511,"G13135050511.csv, 33.9747536903172, -84.0686496658941"
-84.07253766399401,33.85465182548266,13135050714,13135050714,G13135050714,"G13135050714.csv, 33.8546518254827, -84.072537663994"
-83.98027127942153,33.938432991070655,13135050522,13135050522,G13135050522,"G13135050522.csv, 33.9384329910707, -83.9802712794215"
-84.0031477612943,33.95607459716661,13135050520,13135050520,G13135050520,"G13135050520.csv, 33.9560745971666, -84.0031477612943"
-84.49986286094494,33.751632992616436,13121007808,13121007808,G13121007808,"G13121007808.csv, 33.7516329926164, -84.4998628609449"
-84.51550231829599,33.74618074093311,13121007806,13121007806,G13121007806,"G13121007806.csv, 33.7461807409331, -84.515502318296"
-84.36238838084539,33.813310255572496,13121009200,13121009200,G13121009200,"G13121009200.csv, 33.8133102555725, -84.3623883808454"
-84.48268452618764,33.769990739818724,13121008201,13121008201,G13121008201,"G13121008201.csv, 33.7699907398187, -84.4826845261876"
-84.38301686338548,33.78416332952545,13121001100,13121001100,G13121001100,"G13121001100.csv, 33.7841633295254, -84.3830168633855"
-84.37824373464187,33.788537482140306,13121000400,13121000400,G13121000400,"G13121000400.csv, 33.7885374821403, -84.3782437346419"
-84.36419900393057,33.791633185934074,13121000200,13121000200,G13121000200,"G13121000200.csv, 33.7916331859341, -84.3641990039306"
-84.36492519902345,33.82199798789263,13121009402,13121009402,G13121009402,"G13121009402.csv, 33.8219979878926, -84.3649251990234"
-84.37575707137488,33.834370529055285,13121009603,13121009603,G13121009603,"G13121009603.csv, 33.8343705290553, -84.3757570713749"
-84.37770700533724,33.84639168224563,13121009601,13121009601,G13121009601,"G13121009601.csv, 33.8463916822456, -84.3777070053372"
