GEOID10,TRACTID,GISJN_TCT,cty_fips,class_mm,class_mm_char,elev_m,develop_pct,prcp,tmax,tmin,totpop,white_nh,afam_nh,natam_nh,asian_nh,hisp,fb_pop,nonga_pop,ga_pop,cmute_car,cmute_carp,cmute_public,cmute_bike,cmute_walk,cmute_home,medinc,povpop_50pct,popop_99pct,inc_10K,inc_150K,inc_200K,tenure_own,tenure_rent,ind_ag,ind_const,ind_manuf,ind_wholetrd,ind_retltrd,ind_transp,ind_info,ind_finance,ind_prof,ind_ed,ind_arts,ind_public
13013180108,13013180108,G13013180108,13013,2,"White, low diversity",296.4916149882086,15.32,1564.3333333333333,22.151141552511415,10.372602739726027,2825,85.3,5.6,0.5,1.9,4.6,5.2,33.7,60.3,86.7,9.4,0,0,0,0.6,51250,4.6,4.6,0,4,0,68.5,31.5,0.1,8.5,7.9,6.2,19,8.1,1.8,5.1,11.1,14.3,8.6,6
13013180104,13013180104,G13013180104,13013,8,"White, moderate diversity",303.5256594194901,18.53,1551.6666666666667,22.08949771689498,10.401369863013699,2032,73,12.3,0,0,7.7,3.2,28.3,68.1,84.7,10.4,0,0,0,3.6,40385,16.8,16.8,16,0.4,1.8,72.1,27.9,0,10.8,9.8,4.4,18.5,8.7,4.3,4.6,15,14,4.2,1.2
13013180107,13013180107,G13013180107,13013,8,"White, moderate diversity",300.5822578390719,22.94,1597,22.17579908675799,10.37351598173516,3904,78.7,2.2,0,7.5,10,6.8,32.7,60.1,89.2,8.2,0,0,0,1.4,50351,9.6,9.6,9.3,0,0.9,62.3,37.7,0,10.6,15.4,2.1,21.4,7.2,0.4,3.3,8.8,15.8,5,2.2
13015960802,13015960802,G13015960802,13015,2,"White, low diversity",270.7421371167775,9.99,1362,22.442465753424656,9.811872146118722,2998,83.8,0.7,1.4,0,14.1,5.1,36.7,57.3,79.9,9.2,0.1,0,2.7,4.9,33393,14.6,14.6,13.2,2.7,0,63.6,36.4,4.4,16.3,11.6,0.5,10.7,6.2,0,0.5,14.7,13.8,7.6,4.7
13015961000,13015961e3,G13015961000,13015,2,"White, low diversity",225.71724203509262,3.2,1277.3333333333333,22.825570776255706,9.79041095890411,7296,89.2,5.6,0,0,3.9,2.1,36.2,61,86.4,5.5,0,0,0.6,5.6,59063,3.4,3.4,1.6,5.5,2.5,86.3,13.7,1,11.4,16.8,2.2,10.6,9.7,0.9,6.6,7.8,17.2,9.7,2.2
13015960901,13015960901,G13015960901,13015,2,"White, low diversity",224.95853870687156,7.8,1279,22.836073059360732,9.897716894977169,3206,94,0.6,0,0,4.8,1.2,24.8,73.8,83,10.8,0,0,0,5.1,51836,10.3,10.3,6.7,2.6,1.9,72.2,27.8,1,6.9,8.2,2.5,15,6.2,1,7.9,12.5,22.5,7.2,7
13015960102,13015960102,G13015960102,13015,2,"White, low diversity",300.3285207400179,2.6,1389,22.494063926940637,9.833789954337899,10073,87.5,4.5,0,0.2,6.7,2.7,32.7,64.4,82.3,11.5,1.4,0,0,3.7,67639,3.1,3.1,1.9,4.7,2.2,82.2,17.8,0.7,6.7,12.7,1.6,11.5,7,2.6,5,3,28,9.3,5.5
13015960101,13015960101,G13015960101,13015,2,"White, low diversity",266.16036772216546,0.59,1379.6666666666667,22.563470319634703,9.988584474885844,1573,98,0,0,0,2,0.3,21.9,75.7,79.9,3.2,0,0,0,14.6,57713,12.4,12.4,9.2,3.1,0,77.7,22.3,1.5,11,12.7,0,10.4,13.2,3.1,9.8,3.3,20.7,1.6,4.6
13015960402,13015960402,G13015960402,13015,8,"White, moderate diversity",261.71549481424955,17.99,1325,22.732876712328768,9.873972602739727,8758,78.5,14.2,0.1,0,4.3,2.9,32.2,63.5,88,7.8,0,0,0,3.8,55856,3.3,3.3,5.2,5.7,3.7,67.2,32.8,0.6,11.8,18.3,1.9,12.2,7.4,2.6,8.1,7.6,18.5,3.8,4.1
13015960401,13015960401,G13015960401,13015,8,"White, moderate diversity",241.1877948561863,32.39,1319.6666666666667,22.710045662100455,9.828310502283106,10043,66.7,17.9,0,1.9,13,9.3,27.2,62.6,83.9,9.8,0.3,0,0.7,2.3,48562,3.5,3.5,2.2,0.6,0.7,45.8,54.2,0,9.3,24,1.2,9.3,5.7,1.3,4.6,8.7,14.3,11,7.2
